3010-1194,rockstar games,2000,{1|1999|1999|1999|1999|1999|1999|1999|2000|2000|2000|2000|2000|2001|2001|2001|2001|2002|2002|2002|2002|2003|2003|2003|2004|2004|2004|2005|2005|2005|2006|2006|2006|2007|2008|2008|2008|2008|2009|2009|2009|2010|2010|2011|2012|2013|2018},0.3199999,0.7
3010-476,bungie,600,{1989|1991|1992|1993|1994|1995|1995|1995|1996|1996|1997|1998|1999|1999|2001|2001|2004|2006|2007|2009|2010|2011|2014|2014|2017},0.3838094,0.76
3010-760,fromsoftware,283,{1|1995|1996|1997|1998|1998|1999|1999|1999|1999|2000|2000|2000|2000|2000|2001|2002|2002|2002|2002|2002|2003|2003|2003|2003|2003|2004|2004|2004|2004|2004|2005|2005|2005|2005|2005|2006|2006|2006|2006|2006|2006|2006|2007|2007|2007|2008|2008|2009|2009|2009|2009|2010|2010|2011|2011|2011|2012|2012|2012|2013|2014|2015|2015|2016|2018|2019|2019},0.3288888,0.76
3010-2724,revolution software,100,{1992|1994|1996|1997|1999|2000|2000|2003|2006|2013},0.172,0.8222222
3010-397,telltale games,100,{1|1|1|2001|2005|2005|2006|2006|2006|2007|2007|2007|2007|2007|2007|2007|2007|2007|2008|2008|2008|2008|2008|2008|2008|2008|2008|2009|2009|2009|2009|2009|2009|2009|2009|2009|2009|2009|2010|2010|2010|2010|2010|2010|2010|2010|2010|2010|2010|2010|2011|2011|2011|2011|2011|2011|2011|2012|2012|2013|2013|2013|2014|2014|2014|2015|2016|2016|2016|2016|2017|2017|2017|2017|2018|2018|2019},0.1847621,0.53
3010-575,funcom,143,{1|1993|1994|1994|1994|1995|1996|1996|1996|1996|1996|1996|1997|2000|2001|2001|2002|2003|2004|2006|2006|2008|2009|2010|2011|2012|2014|2015|2015|2017|2018|2018|2019|2019|2019},0.3508332,0.53
3010-78,activision,4000,{1|1|1|1|1|1978|1979|1979|1979|1980|1980|1981|1981|1981|1981|1982|1982|1983|1983|1983|1983|1983|1984|1984|1984|1985|1985|1985|1985|1985|1986|1986|1986|1986|1986|1987|1987|1987|1987|1987|1987|1988|1989|1990|1991|1993|1995|1995|1996|1997|1997|1997|1997|1997|1998|1998|1999|1999|1999|2000|2000|2000|2000|2000|2000|2001|2001|2001|2001|2001|2001|2002|2002|2002|2002|2002|2002|2002|2002|2003|2003|2003|2003|2004|2004|2004|2004|2004|2004|2005|2005|2005|2005|2006|2006|2007|2007|2007|2007|2009},0.2993217,0.7020408
3010-344,origin systems,100,{1|1|1|1|1|1|1|1|1|1|1|1981|1982|1983|1983|1985|1985|1985|1985|1986|1988|1989|1989|1989|1990|1990|1990|1990|1991|1991|1991|1991|1992|1992|1992|1992|1992|1993|1993|1993|1993|1993|1994|1994|1994|1994|1994|1994|1994|1994|1994|1994|1995|1995|1995|1995|1996|1996|1996|1996|1996|1997|1997|1997|1997|1997|1997|1997|1997|1998|1998|1998|1998|1999|2000|2001|2002|2003|2004|2013},0.3213332,0.7020408
3010-2858,looking glass studios,120,{1|1|1|1991|1992|1993|1994|1995|1995|1996|1997|1997|1998|1999|1999|1999|2000|2002},0.2026667,0.8571428
3010-98,bioware,100,{1|1|1|1998|1999|1999|2000|2000|2001|2002|2003|2003|2003|2005|2005|2007|2008|2009|2010|2010|2011|2011|2011|2012|2013|2014|2014|2017|2019},0.3813952,0.675
3010-1088,blizzard entertainment,4700,{1|1|1|1|1988|1991|1993|1993|1994|1994|1994|1995|1995|1996|1996|1997|1997|1998|1998|2000|2001|2002|2003|2004|2007|2008|2010|2010|2012|2012|2013|2014|2014|2014|2014|2015|2015|2016|2016|2018|2019},0.3348452,0.6979592
3010-3106,eagle dynamics,55,{1|1|1|1|1996|1999|2003|2008|2011|2011|2013|2013|2014},0.08,0.6979592
3010-2860,tripwire interactive,87,{2006|2009|2009|2010|2011|2011|2013|2013|2016|2017|2018|2019|2019},0.2707692,0.8166667
3010-450,take-two interactive,4894,{1|1|1|1|1|1|1|1|1989|1990|1994|1995|1995|1996|1996|1997|1997|1998|1998|1998|1998|1998|1998|1998|1999|1999|1999|1999|1999|1999|1999|2000|2000|2000|2000|2000|2000|2000|2000|2000|2000|2000|2000|2000|2000|2000|2000|2000|2001|2001|2001|2001|2001|2001|2001|2001|2001|2001|2001|2001|2001|2002|2002|2002|2002|2003|2003|2003|2003|2003|2004|2004|2004|2004|2005|2005|2005|2005|2006|2006|2006|2006|2006|2007|2007|2007|2007|2007|2007|2008|2008|2008|2009|2009|2009|2009|2010|2010|2011|2013},0.2876799,0.85
