date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Sat Aug 10 2019 20:19:49 GMT-0400 (Eastern Daylight Time), Team Member In Ads/Monetization,"San Francisco, CA",Current Employee ,Great work life balance great support,I have been working at Unity Technologies full-time for more than a year,,The company is very positive and not a blaming type environment which encourages risk taking . Very supportive of diversity . From age to gender to orientation to country of origin. Beautiful. Work life is great my manager is very supportiveness of work from home. It depends on your manager.,Seriously nothing except a bit chaotic . .,Love it! Very smart and well thought out!,5.0,5.0,5.0,4.0,4.0,5.0
Fri Jul 26 2019 16:18:40 GMT-0400 (Eastern Daylight Time), Software Test Engineer,"Bellevue, WA",Current Employee ,The most positive experience in my career so far,I have been working at Unity Technologies full-time for less than a year,1,"Professional attitude, Great company","Just hired, so None so far.",,5.0,5.0,4.0,,,
Sat Jun 29 2019 07:30:34 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Don't do it to yourself!,I worked at Unity Technologies full-time for more than a year,13,"Not much, travel was allowed.","Some of the most jealous and deceptive people I have met! I have not dealt with so much crap my entire career. HR allowed passive bullying to continue with advice of just ignore it. I was asked by a VP to add a good company review as they were getting too many bad ones! Management cares less about your low pay, reviews or career progression. Zero ongoing training, career plan or KPI's leaving you to just do your own thing.. even if you do great there is no mention of formal reviews and you'll be chasing for follow up for months on end. Low level managers are really just a joke!",Change your management and pay correctly!!,2.0,1.0,1.0,2.0,1.0,1.0
Wed Jun 26 2019 17:19:05 GMT-0400 (Eastern Daylight Time), Senior Software Engineer,"San Francisco, CA",Current Employee ,"Sweet position in industry, leadership is not the best",I have been working at Unity Technologies full-time for more than a year,10,"exciting industry, tons of opportunities (not just in Unity, overall). they have some solid engineers and managers.","Low pay. Hiring bar varies from team to team, even time to time. You might end up working with someone with low productivity but high ego. Also keep in mind that different org is like a different universe, R&D only cares about unity engine, Ads is like its own company, Services is like the middle child that no one care.","We need stronger leadership, if there is a clear direction/goal every org should be working towards, CEO & CTO needs to advocate it over and over again, in every all hands. And to keep good people, pay them above market rate. When most good people left, whoever left behind are either forced to stay due to family/etc reason -- they won't work hard, or the source of the problem itself -- they will drive good people out.",2.0,4.0,2.0,1.0,1.0,2.0
Wed Jul 24 2019 09:23:29 GMT-0400 (Eastern Daylight Time), Developer,"Seattle, WA",Current Employee ,"Changes required in management, pathetic work environment.",I have been working at Unity Technologies full-time for more than a year,5,"Travel, conferences, colleagues, multiple offices across the world.","Growing pains, Mid management, no vision,","Radical changes required in mid-management, especially in security and IT. The security team management is worse I have ever seen in the industry.",1.0,2.0,1.0,2.0,1.0,1.0
Thu Jun 13 2019 06:51:02 GMT-0400 (Eastern Daylight Time),,"San Francisco, CA",Current Employee ,"fun, exciting, growing",I have been working at Unity Technologies full-time for more than a year,,"exciting industry, products that are top notch, fun environment, people are friendly, great benefits (they really are), great energy, awesome facility, etc.. I could go on and on...","pay could be better growing pains pros far outweigh any negatives, the same could be found at any other co.",keep innovating and continue to make this a fun place to come and work,4.0,4.0,4.0,3.0,3.0,4.0
Mon Jun 03 2019 15:14:39 GMT-0400 (Eastern Daylight Time),,"San Francisco, CA",Former Employee ,Toxic culture and underpaid,I worked at Unity Technologies full-time for more than 3 years,30,The technology is interesting. There is free food. But the Engineering team is incredibly underpaid and overworked.,Bad managers and everyone is leaving because of it especially in Engineering. Salary is way below market. No bonuses unless you are a Director. Stock options are very low.,Fix the culture. It used to be fun to work at Unity. It's unbelievable that the two most senior executives in the company are dating.,1.0,,,,,
Mon May 13 2019 10:59:21 GMT-0400 (Eastern Daylight Time), Lead Recruiter,"San Francisco, CA",Current Employee ,Unity for all,I have been working at Unity Technologies for less than a year,,Scaling rapidly to support services to verticals beyond gaming,Needs more senior leadership for level 1-2 Leads/Managers,Additional Resources,5.0,5.0,5.0,4.0,4.0,5.0
Thu May 16 2019 05:35:42 GMT-0400 (Eastern Daylight Time), Security,"San Francisco, CA",Former Employee ,a stepping stone into bay area scene,I worked at Unity Technologies full-time for less than a year,6,"good people to work with, great 401k deal, everybody want to do more better","low compensation, some last century mentality from some people . On my team no clear direction or goals in practice only on paper and very inexperienced managers no hard feelings really, I am just happy I left",,3.0,4.0,1.0,1.0,3.0,4.0
Tue Apr 09 2019 15:25:00 GMT-0400 (Eastern Daylight Time), Software Engineer,,Current Employee ,Great Interview Experience,I have been working at Unity Technologies full-time for less than a year,3,Well-organized onsite flow. The company gives you a chance to know them better via history and team introduction. You can see the interviewers are positive about the working environment in Unity and passion about what they are working on.,"Haven't been in Unity yet, so it's hard to tell any cons. Only thing is that some teams are separate from HQ.",,5.0,5.0,5.0,5.0,5.0,5.0
Mon Mar 25 2019 20:02:45 GMT-0400 (Eastern Daylight Time),,"San Francisco, CA",Former Employee ,Utterly political toxic environment inside a fancy building with free lunches and snacks!,I worked at Unity Technologies full-time for more than a year,27,"Free lunches everyday, fresh juice, game room, beer taps and nice location.","1. Few teams/ team members do not like each other, you will feel like fighting a battle just to get some work done. 2. Too frequent changes in upper management has created chaos with no clear direction about the product. 3. Appraisal process is inconsistent. 4. Recruiter might lie about pre ipo stock value, Unity took a hefty round of funding last year, stock has been diluted significantly. 5. Unity has its own way of making work more stressful, you will feel like a lot is on stake and you will be judged.","Even if you consider half of the Glassdoor and blind reviews are true, there is something terribly wrong, fix them.",1.0,1.0,1.0,3.0,2.0,1.0
Thu Feb 14 2019 08:25:03 GMT-0500 (Eastern Standard Time), Technical Recruiter,"Bellevue, WA",Current Employee ,Great company with bright future,I have been working at Unity Technologies full-time for less than a year,2,"Great people, free/healthy lunches and snacks, nice location with beautiful views from the office, interesting work. I have been impressed with the clarity in communication from leadership.",Nothing that isn't to be expected from a rapidly growing company.,,5.0,5.0,5.0,5.0,5.0,5.0
